alg      instance      k  rep    v         
G        flat50-1      0  344    542       
G        flat50-1      0  345    541       
G        flat50-1      0  346    541       
G        flat50-1      0  347    541       
G        flat50-1      0  348    542       
G        flat50-1      0  349    541       
G        flat50-1      0  350    543       
G        flat50-1      0  351    542       
G        flat50-1      0  352    543       
G        flat50-1      0  353    541       
G        flat50-1      0  354    540       
G        flat50-1      0  355    542       
G        flat50-1      0  356    540       
G        flat50-1      0  357    542       
G        flat50-1      0  358    540       
G        flat50-1      0  359    542       
G        flat50-1      0  360    541       
G        flat50-1      0  361    539       
G        flat50-1      0  362    541       
G        flat50-1      0  363    543       
G        flat50-1      0  364    542       
G        flat50-1      0  365    539       
G        flat50-1      0  366    542       
G        flat50-1      0  367    541       
G        flat50-1      0  368    544       
G        flat50-1      0  369    540       
G        flat50-1      0  370    541       
G        flat50-1      0  371    543       
G        flat50-1      0  372    540       
G        flat50-1      0  373    538       
G        flat50-1      0  374    542       
G        flat50-1      0  375    539       
G        flat50-1      0  376    540       
G        flat50-1      0  377    543       
G        flat50-1      0  378    539       
G        flat50-1      0  379    541       
G        flat50-1      0  380    542       
G        flat50-1      0  381    543       
G        flat50-1      0  382    542       
G        flat50-1      0  383    543       
G        flat50-1      0  384    540       
G        flat50-1      0  385    541       
G        flat50-1      0  386    543       
G        flat50-1      0  387    538       
G        flat50-1      0  388    538       
G        flat50-1      0  389    539       
G        flat50-1      0  390    540       
G        flat50-1      0  391    544       
G        flat50-1      0  392    539       
G        flat50-1      0  393    539       
G        flat50-1      0  394    543       
G        flat50-1      0  395    539       
G        flat50-1      0  396    542       
G        flat50-1      0  397    544       
G        flat50-1      0  398    541       
G        flat50-1      0  399    543       
G        flat50-1      0  400    541       
G        flat50-1      0  401    539       
G        flat50-1      0  402    541       
G        flat50-1      0  403    540       
G        flat50-1      0  404    539       
G        flat50-1      0  405    542       
G        flat50-1      0  406    541       
G        flat50-1      0  407    542       
G        flat50-1      0  408    539       
G        flat50-1      0  409    541       
G        flat50-1      0  410    542       
G        flat50-1      0  411    542       
G        flat50-1      0  412    540       
G        flat50-1      0  413    540       
G        flat50-1      0  414    541       
G        flat50-1      0  415    541       
G        flat50-1      0  416    540       
G        flat50-1      0  417    543       
G        flat50-1      0  418    539       
G        flat50-1      0  419    540       
G        flat50-1      0  420    542       
G        flat50-1      0  421    541       
G        flat50-1      0  422    543       
G        flat50-1      0  423    540       
G        flat50-1      0  424    541       
G        flat50-1      0  425    541       
G        flat50-1      0  426    542       
G        flat50-1      0  427    538       
G        flat50-1      0  428    540       
G        flat50-1      0  429    543       
G        flat50-1      0  430    543       
G        flat50-1      0  431    540       
G        flat50-1      0  432    541       
G        flat50-1      0  433    541       
G        flat50-1      0  434    542       
G        flat50-1      0  435    543       
G        flat50-1      0  436    540       
G        flat50-1      0  437    540       
G        flat50-1      0  438    539       
G        flat50-1      0  439    539       
G        flat50-1      0  440    541       
G        flat50-1      0  441    541       
G        flat50-1      0  442    538       
G        flat50-1      0  443    543       
G        flat50-1      0  444    543       
G        flat50-1      0  445    542       
G        flat50-1      0  446    542       
G        flat50-1      0  447    541       
G        flat50-1      0  448    542       
G        flat50-1      0  449    540       
G        flat50-1      0  450    539       
G        flat50-1      0  451    542       
G        flat50-1      0  452    540       
G        flat50-1      0  453    540       
G        flat50-1      0  454    542       
G        flat50-1      0  455    543       
G        flat50-1      0  456    538       
G        flat50-1      0  457    543       
G        flat50-1      0  458    542       
G        flat50-1      0  459    542       
G        flat50-1      0  460    540       
G        flat50-1      0  461    541       
G        flat50-1      0  462    542       
G        flat50-1      0  463    541       
G        flat50-1      0  464    540       
G        flat50-1      0  465    541       
G        flat50-1      0  466    540       
G        flat50-1      0  467    542       
G        flat50-1      0  468    543       
G        flat50-1      0  469    541       
G        flat50-1      0  470    542       
G        flat50-1      0  471    540       
G        flat50-1      0  472    542       
G        flat50-1      0  473    543       
G        flat50-1      0  474    540       
G        flat50-1      0  475    541       
G        flat50-1      0  476    539       
G        flat50-1      0  477    540       
G        flat50-1      0  478    541       
G        flat50-1      0  479    542       
G        flat50-1      0  480    542       
G        flat50-1      0  481    541       
G        flat50-1      0  482    540       
G        flat50-1      0  483    541       
G        flat50-1      0  484    543       
G        flat50-1      0  485    543       
